"","siteID","AllOut_1","COut_1","COut_all_1","DEM_1","LANDCVI_binary_1","LANDCVI_multiple_1","MGVF_1","MOut_1","MOut_all_1","Relief_1","SLOPE_1","WC_Prec_1","WC_Temp_1","mean_ptemp","mean_pprec","mean_pDEM","mean_psed"
"1",1447,0.419999986886978,0,0.129999995231628,826.456420898438,NA,1,90.75,0.28999999165535,0.28999999165535,307.753234863281,0.154719695448875,39.4135284423828,2.26833462715149,25.5648210572033,4.41926539234999,686.829268292683,3597.14634146341
"2",1448,0.360000014305115,0,0.119999997317791,705.311279296875,NA,3,97,0.239999994635582,0.239999994635582,444.977508544922,0.141662552952766,39.2029304504395,2.22263550758362,26.9992455754961,6.8864327115672,897.857142857143,4486.53571428571
"3",1530,0.800000011920929,0.560000002384186,0.569999992847443,1363.46228027344,NA,3,95.25,0.790000021457672,0.790000021457672,1460.43249511719,0.258570194244385,49.7465286254883,2.26528406143188,26.016753938463,5.634079085456,795.555555555556,4071.66666666667
"4",1619,0.170000001788139,0.109999999403954,0.129999995231628,671.213256835938,NA,1,42.0000076293945,0.0399999991059303,0.0599999986588955,273.704071044922,0.0630411058664322,39.9841842651367,2.45625638961792,28.9707841873169,2.80776399374008,60,2861.33333333333
"5",1703,0.0500000007450581,0,0.0299999993294477,755.893920898438,NA,1,92.75,0.0199999995529652,0.0500000007450581,227.837554931641,0.0625346153974533,36.4984359741211,2.73754453659058,29.2424740791321,3.3534255027771,440,3799
"6",1706,1,0.610000014305115,1,654.070495605469,NA,1,82.0000076293945,0,0.389999985694885,204.751342773438,0.0316856503486633,32.1091079711914,2.20399188995361,30.590705871582,3.43778208891551,613.333333333333,4228
"7",1785,0.25,0,0,907.862854003906,NA,1,88.5000076293945,0.25,0.25,331.094696044922,0.166625931859016,34.2514419555664,3.29515814781189,28.7421010335286,2.72836955388387,-20,2815
"8",1786,0.170000001788139,0,0.0399999991059303,865.446166992188,NA,1,88.25,0.129999995231628,0.170000001788139,289.677520751953,0.0730009824037552,31.5264530181885,3.32338762283325,29.3473450155819,2.87944875324474,88.187134502924,3360.72815533981
"9",1788,1,0.170000001788139,1,756.711608886719,NA,1,81.75,0,0.8299999833107,149.316131591797,0.0163369122892618,27.5284900665283,2.8954029083252,30.1278322811784,2.88737415445262,451.034482758621,3899.86206896552
"10",1870,1,0.850000023841858,1,753.948059082031,NA,1,87.25,0,0.150000005960464,185.588287353516,0.0480313152074814,27.479305267334,4.68221282958984,29.0599675654032,2.57982139340762,344.864864864864,3609.48824082785
"11",1871,1,0.810000002384186,1,692.675415039062,NA,1,69.7500076293945,0,0.180000007152557,218.815475463867,0.0723277106881142,26.7156829833984,4.52275562286377,28.1824356576671,3.62168556710948,453.913043478261,3840.72093023256
"12",1951,0.810000002384186,0.129999995231628,0.200000002980232,1183.86206054688,NA,3,99.25,0.740000009536743,0.769999980926514,1201.90576171875,0.181896105408669,42.7021942138672,4.90039873123169,29.7867040634155,3.83644533157349,620,4228
"13",1952,1,0.72000002861023,0.930000007152557,929.643127441406,NA,1,85.2499923706055,0.0500000007450581,0.259999990463257,598.56982421875,0.1800187677145,33.0816535949707,5.62536001205444,28.8083085219065,3.7569092263778,567.5,4211.47916666667
"14",1953,1,0.889999985694885,1,848.218994140625,NA,1,84.2499923706055,0,0,326.199401855469,0.0669811517000198,30.0335655212402,5.64670038223267,28.1533558185284,2.71052697988657,360,3608
"15",1954,0.959999978542328,0.52999997138977,0.910000026226044,1104.982421875,NA,1,86.2500076293945,0.0500000007450581,0.430000007152557,650.60693359375,0.0613560490310192,29.6589126586914,4.40191793441772,28.399801310682,3.61834023091357,580.11090573013,3954.45101663586
"16",2034,0.0199999995529652,0.0199999995529652,0.0199999995529652,1595.60815429688,NA,3,97,0,0,1379.80358886719,0.103430017828941,51.9793510437012,2.80001330375671,28.566036605835,4.49725027084351,608,4228
"17",2035,0.610000014305115,0.419999986886978,0.550000011920929,1207.40490722656,NA,1,66.2500076293945,0.0799999982118607,0.109999999403954,1167.81359863281,0.261865496635437,29.6714000701904,5.79519033432007,28.5495197724323,4.48553640745124,619.183673469388,4228
"18",2037,0.959999978542328,0.600000023841858,0.959999978542328,938.202331542969,1,2,68.7500076293945,0,0,297.761688232422,0.0561737231910229,25.3330554962158,6.1234974861145,27.0336753712144,2.92530427699865,372.558139534884,2955.26744186046
"19",2038,0.689999997615814,0.379999995231628,0.689999997615814,858.51806640625,NA,1,79.5,0.00999999977648258,0.319999992847443,1058.67419433594,0.0971575900912285,29.960376739502,5.50004196166992,23.8335321920889,5.36860592276962,1268.14814814815,3993.03703703704
"20",2040,0.889999985694885,0.310000002384186,0.889999985694885,689.789794921875,NA,1,82,0,0.379999995231628,241.618469238281,0.0300002209842205,26.0320949554443,5.83799076080322,29.417366027832,4.2739155292511,480,4228
"21",2041,0.649999976158142,0.0399999991059303,0.589999973773956,806.9677734375,NA,1,93.2499923706055,0.0599999986588955,0.610000014305115,380.385101318359,0.00661900360137224,25.7629680633545,5.76776742935181,29.3857707977295,4.30327939987183,400,4228
"22",2118,0.25,0.209999993443489,0.25,1383.05627441406,NA,1,74.7500076293945,0.0199999995529652,0.0199999995529652,1243.80249023438,0.297184884548187,34.6965675354004,4.89737033843994,28.4644784555807,4.55617206746882,629.61038961039,4194.92207792208
"23",2120,0.209999993443489,0,0.209999993443489,1470.01037597656,1,2,89.0000076293945,0,0,1209.22644042969,0.172495171427727,38.655948638916,6.5059928894043,29.4278977711995,4.26412757237752,506.666666666667,4228
"24",2121,0.610000014305115,0.189999997615814,0.600000023841858,988.4765625,1,2,90.9999923706055,0.00999999977648258,0.189999997615814,920.699890136719,0.252332836389542,32.5937957763672,6.55415344238281,28.9635146512824,4.19567643989951,608.135593220339,4228
"25",2122,0.769999980926514,0.0199999995529652,0.680000007152557,882.369018554688,NA,1,59.5,0.0900000035762787,0.680000007152557,783.072814941406,0.0883231312036514,28.9946060180664,7.04086637496948,29.0356622934341,4.23806047439575,572.5,4228
"26",2124,0.330000013113022,0,0.0900000035762787,759.477905273438,1,1,76.7499923706055,0.239999994635582,0.330000013113022,308.876556396484,0.0486669391393661,25.714786529541,6.90286350250244,29.0616760253906,3.22319650650024,440,3831.5
"27",2204,0.340000003576279,0.0799999982118607,0.28999999165535,1277.53967285156,NA,1,75.2500076293945,0.0399999991059303,0.150000005960464,1134.08947753906,0.347390294075012,32.3754692077637,6.10051822662354,27.3755351207295,4.91352631615811,454.426229508197,3556.61290322581
"28",2205,0.449999988079071,0.0700000002980232,0.25,1015.52581787109,1,2,58,0.200000002980232,0.259999990463257,550.491455078125,0.118299148976803,29.9400978088379,7.35405921936035,22.050213938174,5.80008262136708,1363.47826086957,4228
"29",2286,0.0599999986588955,0.00999999977648258,0.0599999986588955,2264.83911132812,NA,3,81.4999923706055,0.00999999977648258,0.00999999977648258,1608.4853515625,0.240153968334198,45.3142318725586,3.45701217651367,28.9924736022949,2.78562005360921,346.666666666667,3699.33333333333
"30",2292,0.639999985694885,0,0.370000004768372,1030.38110351562,1,2,69.5,0.270000010728836,0.639999985694885,354.152587890625,0.159937471151352,30.9729347229004,7.65152072906494,29.1772651672363,4.3251678943634,520,4228
"31",2369,0.0399999991059303,0.00999999977648258,0.00999999977648258,2549.46655273438,NA,3,75.75,0.0299999993294477,0.0299999993294477,1086.07336425781,0.165973618626595,54.0330543518066,0.869808554649353,22.4546031951904,5.23832130432129,1500,4228
"32",2372,0.0299999993294477,0.00999999977648258,0.00999999977648258,2703.0400390625,NA,3,94.0000076293945,0.0299999993294477,0.0299999993294477,2145.26025390625,0.22471022605896,33.9979515075684,3.82710313796997,23.1311195691427,5.11044084032377,1106.66666666667,3910.70833333333
"33",2452,0.0799999982118607,0.0199999995529652,0.0199999995529652,3157.94677734375,NA,3,41.4999961853027,0.0599999986588955,0.0599999986588955,1270.18493652344,0.0476842001080513,44.7258110046387,1.15819036960602,23.3841667175293,4.81466770172119,1320,4228
"34",2454,0.0700000002980232,0.0500000007450581,0.0500000007450581,2172.86303710938,1,2,66.5000076293945,0.0199999995529652,0.0199999995529652,1227.0673828125,0.0645017102360725,21.4933166503906,6.34964179992676,25.9674739837646,4.01263173421224,973.333333333333,3699.33333333333
"35",2455,0.0299999993294477,0.00999999977648258,0.00999999977648258,2033.95129394531,1,2,75.2499923706055,0.0199999995529652,0.0199999995529652,1375.32397460938,0.127634286880493,24.3260593414307,5.85595083236694,26.5506327152252,3.72497519850731,760,3469.625
"36",2619,0.150000005960464,0.0599999986588955,0.150000005960464,2025.03979492188,1,2,18.5,0.0299999993294477,0.0299999993294477,660.326293945312,0.118086747825146,18.0336513519287,5.19531202316284,28.4235572814941,4.08271871294294,537.142857142857,4051.85714285714
"37",2620,0.129999995231628,0.100000001490116,0.119999997317791,2103.25463867188,1,2,21.2500019073486,0.0700000002980232,0.0700000002980232,567.620910644531,0.0851456522941589,18.2413997650146,5.12086153030396,28.0814959208171,3.97554016113281,480,4228
"38",2703,0.180000007152557,0.0900000035762787,0.180000007152557,2100.97534179688,1,2,61.7500038146973,0,0,943.194763183594,0.0543233528733253,25.6381301879883,6.52297687530518,25.1651860750639,5.15840631264907,796.923076923077,3690.69230769231
"39",2784,0.270000010728836,0.0799999982118607,0.219999998807907,1686.39807128906,1,2,15.75,0.0500000007450581,0.0500000007450581,1645.15856933594,0.10122462362051,23.0482692718506,8.21963977813721,28.9830799102783,2.3044057573591,291.428571428571,3435
"40",2786,0.349999994039536,0.219999998807907,0.349999994039536,2041.11840820312,1,3,82.0000076293945,0,0,1819.37683105469,0.170546755194664,29.4143695831299,8.03654861450195,24.2138919830322,7.93644762039185,880,3712
"41",2787,0.100000001490116,0.0500000007450581,0.100000001490116,2035.20959472656,1,3,93.5000076293945,0,0,1916.59619140625,0.326561510562897,34.7800483703613,3.42044377326965,25.2708625793457,3.5446035861969,920,3435
"42",2948,0,0,0,2259.53515625,NA,3,73.5000076293945,0,0,1487.41198730469,0.179385110735893,31.3991775512695,7.55432891845703,28.6257042203631,4.50049007128155,582.222222222222,4228
"43",2949,0.00999999977648258,0,0.00999999977648258,1858.56628417969,1,2,32.2500076293945,0,0,2028.06811523438,0.239680424332619,20.0286293029785,10.7178440093994,29.3631792979635,4.00680808808394,475.15923566879,4233.6357827476
"44",2950,0.0500000007450581,0.00999999977648258,0.0500000007450581,1445.58374023438,1,2,11.7500019073486,0,0,1380.70361328125,0.138278499245644,16.192626953125,12.7394409179688,28.999605178833,3.62312150001526,360,3591
"45",3035,0.6700000166893,0.379999995231628,0.6700000166893,1641.48107910156,1,2,5.5,0,0,1258.30834960938,0.217530876398087,20.6087493896484,10.8553867340088,28.6385972577357,3.12023649166092,403.849154746424,3810.47894736842
"46",3036,0.0700000002980232,0.0500000007450581,0.0700000002980232,1976.37182617188,1,2,29,0,0,546.034912109375,0.321805000305176,28.0639572143555,8.99772071838379,29.0904061917177,3.13064901607553,401.649484536082,3854.34426229508
"47",3119,0.409999996423721,0.28999999165535,0.409999996423721,2055.09619140625,1,2,17.4999980926514,0,0,1302.09973144531,0.0128282811492682,24.0848903656006,9.64639568328857,29.4514486747876,2.94465840490241,399.298245614035,4199.67857142857
"48",3120,0.0500000007450581,0.0199999995529652,0.0500000007450581,1859.93310546875,1,2,30.7499980926514,0,0,1429.67492675781,0.20651239156723,31.1826572418213,10.5673027038574,29.1245994567871,3.41999204953512,493.333333333333,4228
"49",3285,0.0199999995529652,0.00999999977648258,0.0199999995529652,1882.45104980469,1,2,48.7500038146973,0,0,1554.54296875,0.169068619608879,28.7069339752197,11.1853160858154,27.2342472076416,4.87845993041992,1160,4228
"50",3367,0.00999999977648258,0,0.00999999977648258,1895.53247070312,1,2,45,0,0,1220.79467773438,0.213336884975433,29.1604290008545,14.133339881897,29.1335868835449,3.72175002098083,480,4228
