"","y.1","y.2","y.3","y.4","y.5","y.6","y.7","y.8","y.9","y.10"
"147275",1,1,1,0,NA,NA,NA,NA,NA,NA
"148921",1,1,0,NA,NA,NA,NA,NA,NA,NA
"148925",0,1,NA,NA,NA,NA,NA,NA,NA,NA
"148926",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148927",0,0,1,0,NA,NA,NA,NA,NA,NA
"148929",0,0,0,1,NA,NA,NA,NA,NA,NA
"148931",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148933",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149755",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149756",1,0,NA,NA,NA,NA,NA,NA,NA,NA
"151411",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153075",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"156437",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170609",0,1,NA,NA,NA,NA,NA,NA,NA,NA
"173891",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174721",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178089",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178897",1,1,1,0,0,NA,NA,NA,NA,NA
"183032",0,0,0,0,NA,NA,NA,NA,NA,NA
"183862",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183863",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183864",0,1,0,0,0,1,1,0,0,0
"183865",0,0,1,0,0,1,1,0,0,0
"183867",0,1,0,0,1,1,0,NA,NA,NA
"183868",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183869",0,1,0,NA,NA,NA,NA,NA,NA,NA
"184692",0,0,0,NA,NA,NA,NA,NA,NA,NA
"184694",1,0,1,0,0,0,1,0,0,1
"184695",1,0,0,0,0,1,1,1,0,0
"184696",0,0,0,1,1,0,0,1,1,1
"184697",1,1,0,1,0,0,0,0,1,0
"184706",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184709",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184710",1,1,0,0,0,NA,NA,NA,NA,NA
"185524",0,0,0,0,0,1,0,0,0,1
"185526",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185531",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186353",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186354",1,0,0,1,0,1,NA,NA,NA,NA
"186355",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186356",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187187",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187189",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187190",0,0,0,0,0,NA,NA,NA,NA,NA
"187197",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"187198",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189673",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189674",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190509",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190513",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191334",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191336",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"191347",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191348",0,0,0,NA,NA,NA,NA,NA,NA,NA
"192164",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192977",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192994",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194628",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194657",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194661",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195487",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195492",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196325",1,0,NA,NA,NA,NA,NA,NA,NA,NA
"197135",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"197138",1,0,NA,NA,NA,NA,NA,NA,NA,NA
"197139",0,0,1,1,1,0,0,NA,NA,NA
"197154",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"197155",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"197157",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197965",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197981",1,0,0,0,1,NA,NA,NA,NA,NA
"197982",0,0,1,NA,NA,NA,NA,NA,NA,NA
"197983",1,1,1,1,NA,NA,NA,NA,NA,NA
"197984",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197986",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198811",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198812",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198813",1,1,1,1,1,NA,NA,NA,NA,NA
"198814",1,1,0,0,0,1,0,NA,NA,NA
"198816",0,0,1,0,NA,NA,NA,NA,NA,NA
"198817",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198826",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199623",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199624",0,1,0,1,1,1,0,1,1,0
"199641",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199644",0,0,0,1,NA,NA,NA,NA,NA,NA
"199645",0,1,0,0,1,0,0,0,0,1
"199646",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201283",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202103",1,1,1,1,1,1,NA,NA,NA,NA
"202111",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202117",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202139",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202144",1,1,NA,NA,NA,NA,NA,NA,NA,NA
"202971",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202972",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202973",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202974",0,0,0,NA,NA,NA,NA,NA,NA,NA
"202992",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202993",1,1,NA,NA,NA,NA,NA,NA,NA,NA
"203773",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203774",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203775",1,0,NA,NA,NA,NA,NA,NA,NA,NA
"203776",1,1,0,0,1,1,NA,NA,NA,NA
"203777",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203780",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203832",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204604",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204607",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207091",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207118",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207928",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207954",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208754",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208755",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208756",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208758",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208759",0,1,0,1,0,1,0,0,0,NA
"208777",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208785",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208791",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209585",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209587",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209588",0,0,0,0,0,0,1,0,0,0
"209604",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209614",1,0,1,1,NA,NA,NA,NA,NA,NA
"209615",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209617",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209621",1,0,0,0,0,0,0,0,NA,NA
"209644",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210415",0,1,NA,NA,NA,NA,NA,NA,NA,NA
"210472",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211276",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212934",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213778",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217930",1,1,1,NA,NA,NA,NA,NA,NA,NA
"220402",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220404",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220406",1,1,NA,NA,NA,NA,NA,NA,NA,NA
"220408",0,1,NA,NA,NA,NA,NA,NA,NA,NA
"221238",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222065",0,1,1,NA,NA,NA,NA,NA,NA,NA
"222067",1,1,NA,NA,NA,NA,NA,NA,NA,NA
"222071",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223729",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223730",0,0,1,NA,NA,NA,NA,NA,NA,NA
"224541",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225364",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226206",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227033",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227926",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229590",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239513",0,0,0,0,0,0,0,0,0,0
"241171",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241996",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243647",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246990",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247854",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250308",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258589",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259418",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259419",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259421",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259422",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260248",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"260250",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260253",1,1,NA,NA,NA,NA,NA,NA,NA,NA
"261078",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268558",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271037",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271882",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273532",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"274369",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274371",1,0,NA,NA,NA,NA,NA,NA,NA,NA
"275174",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276002",1,1,0,NA,NA,NA,NA,NA,NA,NA
"276831",1,0,NA,NA,NA,NA,NA,NA,NA,NA
"279319",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"280149",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"281819",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"281823",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"282671",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"290110",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"290111",1,0,0,1,1,1,0,0,0,1
"290921",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"290923",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"291766",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"291768",0,0,0,NA,NA,NA,NA,NA,NA,NA
"291777",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"291780",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"292581",0,0,0,NA,NA,NA,NA,NA,NA,NA
"292593",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"292594",0,0,0,0,0,0,0,0,0,0
"292596",0,0,0,0,0,0,0,0,0,0
"293419",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"293420",0,0,0,0,0,NA,NA,NA,NA,NA
"293422",1,1,0,0,0,0,0,0,NA,NA
"293423",1,1,0,0,NA,NA,NA,NA,NA,NA
"293426",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"294242",1,1,NA,NA,NA,NA,NA,NA,NA,NA
"294248",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"294251",0,0,0,0,0,1,NA,NA,NA,NA
"294253",0,0,1,0,0,0,0,1,NA,NA
"294254",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"294257",0,0,0,0,0,NA,NA,NA,NA,NA
"295066",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"295079",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"295082",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"295083",0,0,0,0,0,0,0,0,0,0
"295084",0,0,0,0,NA,NA,NA,NA,NA,NA
"295085",1,1,0,0,1,NA,NA,NA,NA,NA
"295087",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"295089",0,0,0,NA,NA,NA,NA,NA,NA,NA
"295906",0,0,0,0,0,0,0,0,0,0
"296723",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"296732",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"296742",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"296745",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"297574",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"297577",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"299269",0,0,0,NA,NA,NA,NA,NA,NA,NA
"300103",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300926",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300928",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"301756",0,1,NA,NA,NA,NA,NA,NA,NA,NA
"302585",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"302586",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"302587",0,0,1,0,1,0,0,0,0,0
"303415",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"303416",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"303417",0,1,NA,NA,NA,NA,NA,NA,NA,NA
"303418",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"303420",1,1,0,0,0,0,1,NA,NA,NA
"304245",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"304248",1,0,0,1,1,NA,NA,NA,NA,NA
"304249",0,1,0,0,0,1,0,1,1,1
"304250",1,1,0,0,1,1,0,1,0,0
"305075",0,0,0,0,0,0,0,0,1,0
"305076",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"305078",1,0,0,0,1,0,1,0,1,0
"305079",0,1,0,1,1,0,1,1,0,1
"305080",1,1,0,1,0,0,1,0,1,1
"305081",0,1,0,0,1,0,NA,NA,NA,NA
"305082",0,1,NA,NA,NA,NA,NA,NA,NA,NA
"305104",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"305908",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"305909",1,0,1,1,NA,NA,NA,NA,NA,NA
"305910",1,1,1,0,0,0,NA,NA,NA,NA
"305911",0,0,0,0,1,0,0,0,1,0
"305912",0,1,0,1,0,1,1,1,1,0
"305913",0,0,1,0,1,0,0,0,0,0
"306739",0,0,1,NA,NA,NA,NA,NA,NA,NA
"306740",0,0,0,0,0,NA,NA,NA,NA,NA
"306741",0,1,0,0,1,1,0,1,0,1
"306742",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"306743",0,1,0,1,0,1,0,1,1,NA
"306744",0,1,1,NA,NA,NA,NA,NA,NA,NA
"307571",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"307575",0,0,0,0,0,0,0,0,0,0
"307576",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"307577",1,0,NA,NA,NA,NA,NA,NA,NA,NA
"307578",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"307581",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"307585",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"308406",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"309239",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"310072",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"311714",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"311715",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"311724",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"312544",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"312561",1,1,1,0,0,NA,NA,NA,NA,NA
"328479",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"338249",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
